"issuing_country_code","result"
"GBR",4910
"PRT",22
"PAK",22
"D",24
"ESP",58
"SVK",10
"NLD",19
"PHL",6
"BGR",18
"POL",87
"IRL",122
"NZL",35
"ZIM",2
"EST",5
"ITA",71
"LVA",16
"SWE",17
"AUS",30
"HUN",44
"EGY",5
"ROU",40
"MLT",2
"FRA",42
"NGA",7
"CAN",10
"IND",35
"USA",23
"CZE",12
"KEN",3
"NOR",4
"JPN",7
"LTU",39
"CHE",4
"VNM",1
"GHA",1
"GMB",1
"KOR",7
"BRA",3
"PRI",4
"NPL",4
"CHN",17
"FIN",6
"IRN",2
"GRC",16
"AUT",7
"CYP",3
"GBP",2
"RKS",2
"LKA",6
"KAZ",2
"PRY",1
"BEL",3
"RUS",5
"HRV",2
"GBN",1
"SAU",2
"JOR",1
"MWI",1
"COL",2
"IDN",1
"DNK",3
"TWN",1
"ARG",2
"ZAF",9
"SRB",1
"TTO",1
"UGA",2
"UZB",1
"SGP",2
"GGY",1
"MEX",1
"FJI",1
"CMR",1
"TUR",1
"LBN",1
"SVN",1
"IRQ",2
"ZMB",1
"ARE",1
