Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2015-02-13,Deadlift,Back,145.0,3,,,,""
2015-02-13,Lat Pulldown,Back,50.0,8,,,,""
2015-02-13,Lat Pulldown,Back,50.0,8,,,,""
2015-02-13,Lat Pulldown,Back,50.0,10,,,,""
2015-02-13,Hammer Grip Lat Pulldown,Back,50.0,8,,,,""
2015-02-13,Hammer Grip Lat Pulldown,Back,50.0,8,,,,""
2015-02-13,Hammer Grip Lat Pulldown,Back,50.0,8,,,,""
2015-02-13,Chest Supported Row Close Grip,Back,60.0,8,,,,""
2015-02-13,Chest Supported Row Close Grip,Back,50.0,10,,,,""
2015-02-13,Chest Supported Row Close Grip,Back,50.0,10,,,,""
2015-02-13,Chest Supported Row Wide Grip,Back,50.0,10,,,,""
2015-02-13,Chest Supported Row Wide Grip,Back,50.0,10,,,,""
2015-02-13,Chest Supported Row Wide Grip,Back,50.0,10,,,,""
2015-02-13,Wide Grip Cable Row,Back,30.0,12,,,,""
2015-02-13,Wide Grip Cable Row,Back,30.0,12,,,,""
2015-02-13,Wide Grip Cable Row,Back,30.0,12,,,,""
2015-02-13,Cable Face Pull,Shoulders,12.5,12,,,,""
2015-02-13,Cable Face Pull,Shoulders,12.5,12,,,,""
2015-02-13,Cable Face Pull,Shoulders,12.5,12,,,,""
2015-02-13,Rope Push Down,Triceps,15.0,12,,,,""
2015-02-13,Rope Push Down,Triceps,15.0,12,,,,""
2015-02-13,Rope Push Down,Triceps,15.0,12,,,,""
2015-02-13,Lying Dumbell Skull Crusher,Triceps,8.0,10,,,,""
2015-02-13,Lying Dumbell Skull Crusher,Triceps,8.0,10,,,,""
2015-02-13,Lying Dumbell Skull Crusher,Triceps,8.0,10,,,,""
2015-02-13,Reverse Grip Straight Bar Pushdown,Triceps,17.5,8,,,,""
2015-02-13,Reverse Grip Straight Bar Pushdown,Triceps,17.5,10,,,,""
2015-02-13,Reverse Grip Straight Bar Pushdown,Triceps,17.5,10,,,,""
2015-02-16,Flat Barbell Bench Press,Chest,75.0,4,,,,""
2015-02-16,Flat Barbell Bench Press,Chest,75.0,2,,,,""
