#date;weight;weight trend;body fat;body fat trend;comment
28/02/14 12:00;89.5;89.5;;;
01/03/14 12:00;89.5;89.5;;;
02/03/14 12:00;88.3;89.340.256;;;
03/03/14 12:00;88.4;8.921.509;;;
04/03/14 12:00;88.6;8.913.321;;;
05/03/14 12:00;88.4;8.903.561;;;
06/03/14 12:00;87.6;888.445;;;
07/03/14 12:00;88.1;8.874.539;;;
08/03/14 12:00;87.4;8.856.629;;;22% bf
09/03/14 12:00;87.4;8.841.103;;;
10/03/14 12:00;86.2;881.167;;;
11/03/14 12:00;87.1;8.798.135;;;
12/03/14 12:00;87.1;8.786.403;;;
13/03/14 12:00;87.0;8.774.901;;;
14/03/14 12:00;87.7;87.742.485;;;
15/03/14 12:00;86.9;8.763.033;;;
16/03/14 12:00;86.7;87.506.485;;;20%bf
17/03/14 12:00;86.7;87.399.124;;;
18/03/14 12:00;86.8;8.731.937;;;
19/03/14 12:00;87.1;8.729.016;;;
20/03/14 12:00;86.0;87.118.416;;;
21/03/14 12:00;86.0;8.696.953;;;
22/03/14 12:00;86.4;86.893.715;;;
23/03/14 12:00;85.8;86.748.116;;;19%bf
24/03/14 12:00;85.2;8.654.203;;;
25/03/14 12:00;86.6;8.654.974;;;
26/03/14 12:00;86.3;86.516.495;;;
27/03/14 12:00;85.9;86.434.425;;;
28/03/14 12:00;86.4;8.642.984;;;
29/03/14 12:00;86.0;8.637.262;;;
30/03/14 12:00;85.6;86.273.766;;;19%bf
31/03/14 12:00;84.9;8.609.089;;;
01/04/14 12:00;85.5;8.601.223;;;
02/04/14 12:00;85.7;85.970.665;;;
03/04/14 12:00;85.5;8.590.801;;;
04/04/14 12:00;85.8;8.589.363;;;
05/04/14 12:00;84.4;8.569.479;;;
06/04/14 12:00;85.6;85.682.175;;;
07/04/14 12:00;84.4;8.551.149;;;
08/04/14 12:00;85.0;854.434;;;
09/04/14 12:00;85.1;8.539.768;;;
10/04/14 12:00;84.6;852.915;;;
11/04/14 12:00;84.9;8.523.938;;;
12/04/14 12:00;85.0;8.520.751;;;
13/04/14 12:00;84.5;8.511.333;;;
14/04/14 12:00;84.5;8.503.168;;;
15/04/14 12:00;84.4;84.947.586;;;
16/04/14 12:00;84.5;84.888;;;
17/04/14 12:00;84.0;8.476.979;;;
18/04/14 12:00;84.7;847.605;;;
19/04/14 12:00;83.9;8.464.595;;;
20/04/14 12:00;84.6;8.463.983;;;
21/04/14 12:00;84.1;8.456.797;;;
22/04/14 12:00;84.3;84.532.295;;;
23/04/14 12:00;84.5;8.452.799;;;
24/04/14 12:00;83.7;8.441.777;;;
25/04/14 12:00;83.8;8.433.553;;;
26/04/14 12:00;83.1;8.417.106;;;
27/04/14 12:00;84.1;841.616;;;
28/04/14 12:00;83.5;84.073.524;;;
29/04/14 12:00;83.5;8.399.718;;;
30/04/14 12:00;84.1;84.010.864;;;
01/05/14 12:00;83.6;8.395.617;;;
02/05/14 12:00;83.7;83.922.066;;;
03/05/14 12:00;83.5;8.386.588;;;17%bf
04/05/14 12:00;83.5;8.381.718;;;
05/05/14 12:00;82.3;83.615.204;;;
06/05/14 12:00;82.4;8.345.343;;;
07/05/14 12:00;82.4;83.313.194;;;
08/05/14 12:00;82.3;83.178.314;;;
09/05/14 12:00;81.6;8.296.821;;;
10/05/14 12:00;81.7;82.799.385;;;
11/05/14 12:00;82.8;8.279.947;;;
12/05/14 12:00;82.0;8.269.304;;;
13/05/14 12:00;81.6;8.254.753;;;
14/05/14 12:00;81.6;82.421.394;;;
15/05/14 12:00;82.0;82.365.295;;;
16/05/14 12:00;81.9;8.230.335;;;
17/05/14 12:00;81.4;821.831;;;
18/05/14 12:00;82.2;8.218.535;;;
19/05/14 12:00;81.4;820.808;;;
20/05/14 12:00;81.9;8.205.673;;;
21/05/14 12:00;81.7;8.200.924;;;
22/05/14 12:00;81.5;81.941.444;;;
