Date,Calories,Carbs,Fat,Protein,Cholesterol,Sodium,Sugars,Fibre
12-Jan-15,2300,216,67,211,14,3863,67,11
13-Jan-15,2175,245,45,204,218,1951,82,23
14-Jan-15,2300,208,64,218,0,2842,56,12
15-Jan-15,2251,239,52,202,0,1400,64,22
16-Jan-15,1277,149,16,131,0,60,51,12
17-Jan-15,2061,257,46,145,0,660,120,28
18-Jan-15,2712,276,96,184,180,4903,61,18
19-Jan-15,2161,167,83,214,0,4846,40,15
20-Jan-15,2201,209,60,201,7,1580,34,26
21-Jan-15,2203,270,45,186,1,3398,133,22
22-Jan-15,2115,200,46,237,1,5178,68,10
23-Jan-15,2753,296,27,173,21,2261,158,21
25-Jan-15,2165,125,76,143,1,2553,94,18
26-Jan-15,2162,205,74,166,0,4487,71,10
27-Jan-15,859,93,12,98,0,566,65,7
28-Jan-15,1955,218,48,158,150,7151,70,19
29-Jan-15,2309,188,71,225,0,3345,60,19
30-Jan-15,3368,252,159,220,20,456,86,27
31-Jan-15,1090,104,10,145,0,358,4,15
01-Feb-15,711,67,13,81,1,1599,4,7
02-Feb-15,1473,161,43,102,400,213,14,3
03-Feb-15,1047,78,29,122,0,1352,28,8
04-Feb-15,2278,206,65,213,0,4751,93,20
05-Feb-15,2266,191,72,211,0,2973,55,26
06-Feb-15,1134,116,16,131,1,1599,8,12
09-Feb-15,2236,168,105,156,0,1480,22,5
10-Feb-15,1130,81,47,97,0,0,43,5
11-Feb-15,2202,306,54,148,0,1703,197,34
12-Feb-15,2217,249,28,238,1,5553,52,12
13-Feb-15,1286,101,15,138,0,3825,49,1
14-Feb-15,657,57,21,59,0,538,28,5
16-Feb-15,1477,107,50,154,49,812,51,7
17-Feb-15,1282,136,19,125,0,143,91,2
18-Feb-15,2221,238,41,186,0,1939,105,13
19-Feb-15,2292,233,42,209,0,2629,115,18
20-Feb-15,892,109,18,70,10,333,42,12
23-Feb-15,2177,208,61,195,372,1691,88,13
24-Feb-15,1128,84,18,159,25,1760,43,7
25-Feb-15,2139,207,62,187,1,3961,111,25
26-Feb-15,2253,159,93,199,88,666,64,14
27-Feb-15,1221,129,35,92,20,666,28,15
28-Feb-15,3959,409,94,200,1,3939,129,11
02-Mar-15,2061,223,69,196,7,8485,61,22
03-Mar-15,1075,161,23,124,14,1693,55,7
04-Mar-15,2180,207,59,204,101,8458,101,13
05-Mar-15,2153,221,44,207,287,1951,63,5
06-Mar-15,1054,127,36,57,0,326,41,12
07-Mar-15,1997,211,68,103,1,472,45,15
08-Mar-15,2119,142,113,127,0,4278,37,9
09-Mar-15,2120,259,81,213,16,946,82,12
10-Mar-15,1343,113,31,170,22,2518,28,12
11-Mar-15,1874,162,66,135,1840,2035,18,16
12-Mar-15,1212,140,44,163,14,721,54,4
13-Mar-15,1109,92,47,75,0,1058,34,18
14-Mar-15,963,68,51,40,0,356,6,7
15-Mar-15,2487,169,103,157,0,524,38,21
16-Mar-15,2336,178,93,176,53,3226,58,23
17-Mar-15,2559,157,111,203,0,1986,44,12
18-Mar-15,2244,267,49,181,1,1247,172,36
19-Mar-15,1164,116,29,109,14,820,60,12
20-Mar-15,970,62,59,45,0,1335,6,12
23-Mar-15,2143,192,61,197,14,625,92,24
24-Mar-15,1347,112,29,157,21,1658,68,15
25-Mar-15,2243,230,64,189,0,2025,135,9
26-Mar-15,2290,170,92,166,16,1509,79,22
27-Mar-15,2108,167,78,187,0,447,3,7
28-Mar-15,637,56,20,55,0,446,26,7
01-Apr-15,637,56,20,55,0,446,26,7
02-Apr-15,1950,134,101,128,1,644,6,16
07-Apr-15,1169,90,35,120,0,630,29,10
08-Apr-15,2032,184,66,176,0,364,82,6
09-Apr-15,2199,209,56,197,0,1417,64,7
10-Apr-15,1326,91,33,166,0,134,28,2
12-Apr-15,2257,122,108,194,0,686,59,17
13-Apr-15,2166,181,76,192,2,5404,70,13
14-Apr-15,1246,131,25,124,0,1166,53,9
15-Apr-15,1946,99,70,215,356,4016,57,9
16-Apr-15,2385,187,98,181,78,1137,90,20
17-Apr-15,1104,93,44,84,43,1819,37,12
20-Apr-15,2090,189,74,174,5,3995,74,11
21-Apr-15,1272,130,23,132,10,1375,70,4
22-Apr-15,1932,205,40,195,187,2436,89,14
23-Apr-15,2139,199,53,216,13,1891,101,10
24-Apr-15,1952,198,65,139,20,866,80,8
25-Apr-15,981,79,28,102,0,3,20,7
26-Apr-15,319,35,1,43,0,2,35,2
28-Apr-15,1889,223,49,143,0,3,81,13
29-Apr-15,1928,231,28,178,1,2079,98,42
30-Apr-15,2077,193,61,192,0,3745,96,23
01-May-15,1786,154,49,176,0,819,62,17
03-May-15,624,52,22,58,0,352,24,5
04-May-15,2004,195,103,198,0,905,72,25
05-May-15,484,40,14,50,0,253,25,3
06-May-15,2071,203,59,184,34,3667,93,33
07-May-15,2212,176,67,218,260,739,55,20
08-May-15,1214,109,39,110,0,2052,28,6
10-May-15,398,49,5,44,0,0,3,4
11-May-15,2120,195,60,194,0,2797,111,12
12-May-15,603,60,30,23,0,1143,4,9
13-May-15,2007,154,78,160,115,1324,76,12
14-May-15,726,41,24,82,0,446,11,7
15-May-15,1375,113,42,132,0,860,45,22
16-May-15,960,98,21,60,23,19,23,1
17-May-15,1930,149,74,163,0,96,51,17
18-May-15,2156,225,76,149,110,1686,119,10
19-May-15,1634,124,63,142,15,2838,53,10
20-May-15,1796,188,44,179,0,457,62,16
21-May-15,2000,173,57,189,0,1936,104,24
22-May-15,1132,112,22,121,0,1110,50,13
23-May-15,1067,109,36,75,0,530,28,6
24-May-15,720,69,22,57,0,447,31,10
25-May-15,1963,161,75,157,0,1343,64,14
26-May-15,345,29,5,47,14,52,29,0
27-May-15,1986,146,34,134,0,1629,65,12
28-May-15,2006,179,43,199,0,7281,31,15
29-May-15,2912,357,72,124,12,869,141,33
30-May-15,592,72,9,57,15,92,54,14
31-May-15,2042,242,56,145,187,2965,55,9
01-Jun-15,2067,170,63,203,115,4411,87,16
02-Jun-15,2130,206,82,133,516,2878,16,11
03-Jun-15,1959,146,56,211,75,3177,59,19
04-Jun-15,2185,198,48,188,330,1924,51,6
05-Jun-15,1476,103,80,98,30,1242,16,5
06-Jun-15,928,92,19,57,28,48,42,15
07-Jun-15,829,70,25,72,0,2267,36,7
08-Jun-15,2175,242,46,131,0,284,60,13
09-Jun-15,1166,114,30,102,14,949,40,12
10-Jun-15,2223,263,64,167,0,437,110,11
11-Jun-15,934,79,48,44,0,1658,2,11
12-Jun-15,1435,103,52,76,34,1046,39,11
13-Jun-15,679,67,19,56,0,275,41,10
16-Jun-15,2100,175,81,167,34,535,42,15
17-Jun-15,2025,88,84,124,0,90,29,1
18-Jun-15,2331,197,103,147,0,523,46,13
19-Jun-15,1286,89,26,119,0,318,70,18
20-Jun-15,767,101,14,58,0,228,48,10
21-Jun-15,978,54,53,82,653,633,27,2
22-Jun-15,2079,245,54,138,0,1000,89,41
23-Jun-15,2087,177,85,105,66,1799,40,10
24-Jun-15,2075,168,124,180,1,6683,68,14
25-Jun-15,1696,163,45,125,129,2865,70,23
26-Jun-15,2373,178,73,179,0,618,45,11
27-Jun-15,677,67,33,23,1,832,5,13
28-Jun-15,806,71,25,56,3,261,27,1
29-Jun-15,2113,206,57,194,1,2860,78,28
30-Jun-15,1232,40,70,109,106,211,10,4
01-Jul-15,2121,232,43,210,0,1594,70,15
02-Jul-15,2094,163,85,163,1,2734,29,21
03-Jul-15,1206,96,30,140,1,1599,50,7
04-Jul-15,4519,520,169,217,289,10008,196,19
05-Jul-15,1019,91,24,112,10,967,59,5
06-Jul-15,2212,202,114,208,0,2020,68,16
07-Jul-15,1420,137,43,118,14,820,32,5
08-Jul-15,2241,203,73,184,0,2276,58,12
09-Jul-15,2141,204,73,168,0,3186,37,16
10-Jul-15,1499,159,29,148,20,1605,84,13
11-Jul-15,580,79,8,47,0,551,44,4
12-Jul-15,2430,219,108,146,663,1176,79,13
13-Jul-15,2298,146,96,195,0,947,28,7
